id,pos,icon,type,name,fixed_attributes,source,describe,name_fragment,describe_fragment,source_fragment
int,int,varchar,int,varchar,varchar,varchar,varchar,varchar,varchar,varchar
cs,cs,c,cs,c,cs,c,c,c,c,c
序号(CS),套装位置(CS),图标(C),属于哪个套装(CS),该装备名字(C),固定的1-多条属性是哪个TPYE，对应装备成长表中的Type(CS),物品来源，1=普通关卡，2=每日关卡，3=挑战关卡，依次类推(C),描述(C),碎片名称(C),描述(C),物品来源，1=普通关卡，2=每日关卡，3=挑战关卡，依次类推(C)
1,1,icon_equip_10001,1,弥弥尔,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",头部饰品，似乎寄托着对什么人的怀念。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
2,1,icon_equip_20001,2,无辜果实,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",头饰，虽然看起来只是无辜的叶子，但也许未来孕育出的果实会令神都失态。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
3,1,icon_equip_30001,3,神巫之祝,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",戴于脑后的奇特面具，蕴藏着回忆里的祝福。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
4,1,icon_equip_40001,4,粉色蝴蝶结,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",曾经被用来改变声线的领结，后来因为洗褪色了，偶尔会故障发出嘤嘤嘤的奶声，所以现在被当作头饰。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
5,1,icon_equip_50001,5,景华之簪,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",只有在春天才能佩戴的发饰，相传在其他季节会让头发结冰。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
6,1,icon_equip_60001,6,冬日软帽,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",天空之眼冬日制服帽，加入了比较多的„„设计师个人风格。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
7,1,icon_equip_70001,7,幸运发圈,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",为佩戴的头上点缀一点自然的色彩。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
8,1,icon_equip_80001,8,淑女的礼帽,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",传说只有真正的淑女才能戴上的帽子，掀起帽檐可以飞出鸽子。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
9,2,icon_equip_10002,1,古梣守护,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",内部刻有古梣树图案的衣服，没有过多的装饰，但却令人安心。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
10,2,icon_equip_20002,2,仁慈牝鹿,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",轻巧的服饰。牝鹿越过枯木，阳光唤醒大地——又是崭新的一天。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
11,2,icon_equip_30002,3,出云风月,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",繁复而传统的服饰，一如传闻中的天衣。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
12,2,icon_equip_40002,4,蜜糖少女裙,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",被可爱的女生穿上会发出粉色光芒的演唱服，曾经被某九人团体穿过。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
13,2,icon_equip_50002,5,景华之袍,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",曾经被一位终身不婚的女性忍者忠爱，如果不扎上包子头就穿不上它。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
14,2,icon_equip_60002,6,奇异礼服,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",十分得体的礼服，材质也很奇特，作为冬日制服很暖和。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
15,2,icon_equip_70002,7,阿菠萝之裙,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",造型前卫的女性长裙，曾经被误认为是太阳神的设计，却被坚定地否认了。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
16,2,icon_equip_80002,8,夜之礼服,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",散发巧克力芳香的礼服，无论怎么洗都有甜食的味道。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
17,3,icon_equip_10003,1,凝泉之涌,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",用不知名的材质制作的袜子，柔软冰凉，穿上它总是能迅速获得清醒。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
18,3,icon_equip_20003,2,海之花,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",材质很好的袜子，穿着它能感受到浪花正亲吻着脚背。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
19,3,icon_equip_30003,3,本坪铃,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",没有铃铛却能发出声响的短袜，有种微妙的违和感。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
20,3,icon_equip_40003,4,粉色兔兔袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",穿上它就可以跑得比越野还要快！可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
21,3,icon_equip_50003,5,踏雪之袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",可以穿着在雪地里撒野的长袜，但是要注意保暖。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
22,3,icon_equip_60003,6,发热喵喵袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",和礼服搭配的长筒袜，设计师风格很重，同样很暖和。可以组成通用制式-空 07套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
23,3,icon_equip_70003,7,荡漾之袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",穿着它走在草丛里，你就是草丛。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
24,3,icon_equip_80003,8,夜之长袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",穿上之后可以蹬踏星空，但是超过 800米就会掉下来，所以要背好降落伞。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
25,4,icon_equip_10004,1,命运之羽,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",轻盈的鞋子，命运总能带着你前往意想不到之处。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
26,4,icon_equip_20004,2,无暇护佑,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",没有多余装饰的鞋子，纯洁的白色为着胜利而祈祷。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
27,4,icon_equip_30004,3,赤枫屐,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",有着铃铛走起来却悄无声息的木屐，样式简单，功能神秘。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
28,4,icon_equip_40004,4,普通人之鞋,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",不知道为什么褪去了粉色并没有被开除套装籍的普通的鞋子，可以用来拍蟑螂，很准。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
