id,define,desc,note
int,varchar,varchar,varchar
c,c,c,n
序号(C),宏(EXTRA)(C),提示(C),注释(N)
0,SUCCESS,成功,成功
1,ERROR_INVALID_OPERATION,无效操作,无效操作
2,ERROR_NO_TEMPLATE,缺少配置,缺少配置
3,ERROR_TIME_OUT,超时,超时
4,ERROR_NOT_TIME,时间未到,时间未到
5,ERROR_MAX_LV,已达到最大等级,已达到最大等级
6,ERROR_MAX_NUMBER,已达到最大数量,已达到最大数量
7,ERROR_COMPLETED,已经完成,已经完成
8,ERROR_UNDEFINED_ARG,未定义参数,未定义参数
9,ERROR_BAD_ARG,错误参数,错误参数
10,ERROR_BAG_FULL,栏位已满,栏位已满
11,ERROR_DATABASE,数据库错误,数据库错误
12,ERROR_SERVER,系统异常,系统异常
13,ERROR_LOGIN_FORBIDDEN,禁止登录,禁止登录
14,ERROR_BAD_TEMPLATE,配置错误,配置错误
15,ERROR_REGISTER_MAX,注册达到最大人数,注册达到最大人数
16,ERROR_USED,已被使用,已被使用
17,ERROR_ACCOUNT_LOGIN_FORBIDDEN,封号,封号
18,ERROR_DB_BUSY,数据库繁忙,数据库繁忙
19,ERROR_NO_DATA,数据不存在,数据不存在
20,ERROR_LIMITE,不合法限制条件,不合法限制条件
21,ERROR_LV_LIMITE,等级不符合,等级不符合
22,ERROR_TYPE_LIMITE,类型不符合,类型不符合
23,ERROR_NET_DATA_INCOMPLETE,网络数据不完整,网络数据不完整
24,ERROR_NET_DATA_ILLEGAL,网络数据不合法（格式什么跟约定不符）,网络数据不合法（格式什么跟约定不符）
25,ERROR_NET_DATA_INVALID,网络数据无效（对应内容虽然支持但是当前不允许）,网络数据无效（对应内容虽然支持但是当前不允许）
26,ERROR_IP_BLOCK,网络请求无效（IP屏蔽）,网络请求无效（IP屏蔽）
27,ERROR_PROC_NOT_ALIVE,进程不存在,进程不存在
28,ERROR_PROC_CALL_EXCEPTION,进程call失败（可能跨节点通信问题，节点死亡，目标进程死亡中等可能情况）,进程call失败（可能跨节点通信问题，节点死亡，目标进程死亡中等可能情况）
29,ERROR_WRONG_PASSWORD,登陆密码错误,登陆密码错误
100,ERROR_NOT_ENOUGH_RESOURCE,资源不足,资源不足
101,ERROR_NOT_ENOUGH_GOLD,金币不足,金币不足
102,ERROR_NOT_ENOUGH_DIAMOND,钻石不足,钻石不足
103,ERROR_NOT_ENOUGH_HERO_PIECE,英雄碎片不足,英雄碎片不足
104,ERROR_NOT_ENOUGH_YOBI_FU,呼符不足,呼符不足
105,ERROR_NOT_ENOUGH_FRIENDSHIP_POINT,友情点不足,友情点不足
106,ERROR_GOLD_OVER_LIMIT,金币超出持有数量限制,金币超出持有数量限制
107,ERROR_GOLD_TO_DIAMOND_TIMES_OVER_LIMIT,购买金币次数超出限制,购买金币次数超出限制
108,ERROR_NO_CURRENCY,没有货币,没有货币
109,ERROR_CURRENCY_OVER_LIMIT,某种货币超出限制,某种货币超出限制
110,ERROR_NO_ENOUGH_CURRENCY,货币不足,货币不足
111,ERROR_NOT_ENOUGH_FATIGUE,体力不足,体力不足
112,ERROR_NOT_SELECTED_HERO,未选择出击角色,未选择出击角色
200,ERROR_CANT_FIND_FRIEND,无法找到好友,无法找到好友
201,ERROR_CANT_FIND_USER,无法找到玩家,无法找到玩家
202,ERROR_EXIST_FRIEND,已存在好友,已存在好友
203,ERROR_EXIST_BLACK,已存在黑名单,已存在黑名单
204,ERROR_CANT_FIND_BLACK,黑名单中找不到此玩家,黑名单中找不到此玩家
205,ERROR_REQUEST_SWITCH_OFF,此玩家关闭开关 不允许接收邀请,此玩家关闭开关 不允许接收邀请
206,ERROR_IN_BLACK_NOW,被目标玩家拉黑,被目标玩家拉黑
207,ERROR_FRIEND_NUM_LIMIT_ME,（自身）玩家好友数量已达上限,（自身）玩家好友数量已达上限
208,ERROR_EXIST_REQUEST,已向此人发送过好友申请,已向此人发送过好友申请
209,ERROR_FRIEND_NUM_LIMIT_TARGET,（对方）玩家好友数量已达上限,（对方）玩家好友数量已达上限
210,ERROR_EXIST_BLACK_ME,（自己）存在对方的黑名单中,（自己）存在对方的黑名单中
211,ERROR_NOT_EXIST_REQUEST,(对方)不在自己的好友申请者列表中,(对方)不在自己的好友申请者列表中
212,ERROR_BLACK_NUM_LIMIT,黑名单人数已达上限,黑名单人数已达上限
213,ERROR_REQUEST_NUM_LIMIT,(对方)可接收的好友申请数达到上限,(对方)可接收的好友申请数达到上限
300,ERROR_NOT_EXIST_LINK,链接不存在,链接不存在
400,ERROR_ITEM_NOT_AVAILABLE,道具不可购买,道具不可购买
401,ERROR_ITEM_OFF_SELL,道具已下架,道具已下架
402,ERROR_SHOP_NOT_FOUND,未找到相应商店,未找到相应商店
403,ERROR_SHOP_REFRESH_TIMES_LIMIT,商店手动刷新次数达到上限,商店手动刷新次数达到上限
404,ERROR_BUY_TIMES_LIMIT,购买次数已达上限,购买次数已达上限
500,ERROR_GUILD_CREATE_FAILED,工会创建失败,工会创建失败
501,ERROR_EXIST_APPLY,加入申请已提交,加入申请已提交
502,ERROR_IS_GUILD_MEMBER,已加入工会,已加入工会
503,ERROR_NOT_GUILD_MEMBER,未加入工会,未加入工会
504,ERROR_AUTHORITY_NOT_ENOUGH,权限不足,权限不足
